feature,importance
check_tier-1_cooling_system_enter_fluid_temp_apc-rc-5_fluid_temp_t-38,0.0196918
check_tier-1_cooling_system_cool_output_apc-rc-2_cool_output_t-4,0.019638158
check_tier-1_cooling_system_temp_apc-rc-24_unit_air_temp_t-30,0.019626563
check_tier-1_cooling_system_enter_fluid_temp_apc-rc-16_fluid_temp_t-46,0.019307578
check_tier-1_cooling_system_airflow_apc-rc-27_airflow_t-30,0.019231755
hour_t-28,0.018631374
check_tier-1_cooling_system_cool_output_apc-rc-2_cool_output_t-24,0.018496446
check_tier-1_cooling_system_cool_output_apc-rc-27_cool_output_t-33,0.018423602
check_tier-1_cooling_system_temp_apc-rc-5_unit_air_temp_t-51,0.018367087
check_tier-1_cooling_system_temp_apc-rc-13_return_air_temp_t-32,0.018245738
check_tier-1_cooling_system_cool_output_apc-rc-13_cool_output_t-59,0.018227145
month_t-1,0.018181348
check_tier-1_cooling_system_cool_output_apc-rc-2_cool_output_t-60,0.018006993
check_tier-1_cooling_system_enter_fluid_temp_apc-rc-19_fluid_temp_t-50,0.01793837
check_tier-1_cooling_system_airflow_apc-rc-19_airflow_t-56,0.017632715
check_tier-1_cooling_system_cool_output_apc-rc-10_cool_output_t-42,0.01759968
check_tier-1_cooling_system_temp_apc-rc-24_unit_air_temp_t-42,0.017512064
check_tier-1_cooling_system_cool_output_apc-rc-16_cool_output_t-41,0.017422415
check_tier-1_cooling_system_temp_apc-rc-16_unit_air_temp_t-42,0.017225353
check_tier-1_cooling_system_cool_output_apc-rc-13_cool_output_t-52,0.017121831
enter_fluid_temp_t-30,0.01685289
check_tier-1_cooling_system_temp_apc-rc-16_unit_air_temp_t-35,0.016740698
check_tier-1_cooling_system_temp_apc-rc-16_unit_air_temp_t-51,0.016692642
check_tier-1_cooling_system_enter_fluid_temp_apc-rc-16_fluid_temp_t-60,0.016692594
check_tier-1_cooling_system_cool_output_apc-rc-13_cool_output_t-41,0.0165947
check_tier-1_cooling_system_cool_output_apc-rc-24_cool_output_t-21,0.016582202
check_tier-1_cooling_system_enter_fluid_temp_apc-rc-10_fluid_temp_t-30,0.01642831
check_tier-1_cooling_system_cool_output_apc-rc-13_cool_output_t-36,0.016369525
check_tier-1_cooling_system_temp_apc-rc-13_unit_air_temp_t-7,0.016091136
check_tier-1_cooling_system_temp_apc-rc-5_unit_air_temp_t-60,0.016065123
check_tier-1_cooling_system_enter_fluid_temp_apc-rc-16_fluid_temp_t-42,0.015945038
check_tier-1_cooling_system_temp_apc-rc-24_unit_air_temp_t-49,0.01576062
check_tier-1_cooling_system_enter_fluid_temp_apc-rc-13_fluid_temp_t-31,0.015749045
